LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Head marking,Hewitt 1979,http://wals.info/valuesets/24A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/24A,http://wals.info/refdb/record/Hewitt-1979
Acehnese,Head marking,Durie 1985,http://wals.info/valuesets/24A-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/feature/24A,http://wals.info/refdb/record/Durie-1985
Acoma,Head marking,Miller 1965,http://wals.info/valuesets/24A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/24A,http://wals.info/refdb/record/Miller-1965
Ainu,Head marking,Tamura 2000;Shibatani 1990;Patrie 1982,http://wals.info/valuesets/24A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/24A,http://wals.info/refdb/record/Tamura-2000;http://wals.info/refdb/record/Shibatani-1990;http://wals.info/refdb/record/Patrie-1982
Alamblak,Dependent marking,Bruce 1984,http://wals.info/valuesets/24A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/24A,http://wals.info/refdb/record/Bruce-1984
Ambulas,Dependent marking,Wilson 1980;Laycock 1965a,http://wals.info/valuesets/24A-amb,http://wals.info/languoid/lect/wals_code_amb,http://wals.info/feature/24A,http://wals.info/refdb/record/Wilson-1980;http://wals.info/refdb/record/Laycock-1965a
Amele,Dependent marking,Roberts 1987,http://wals.info/valuesets/24A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/24A,http://wals.info/refdb/record/Roberts-1987
Anêm,Head marking,Thurston 1982,http://wals.info/valuesets/24A-ane,http://wals.info/languoid/lect/wals_code_ane,http://wals.info/feature/24A,http://wals.info/refdb/record/Thurston-1982
Apurinã,Head marking,Facundes 2000,http://wals.info/valuesets/24A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/24A,http://wals.info/refdb/record/Facundes-2000
Arabic (Egyptian),No marking,Gary and Gamal-Eldin 1982,http://wals.info/valuesets/24A-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/24A,http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982
Arapesh (Mountain),Dependent marking,Conrad and Wogiga 1991,http://wals.info/valuesets/24A-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/24A,http://wals.info/refdb/record/Conrad-and-Wogiga-1991
Arrernte (Mparntwe),Dependent marking,Wilkins 1989,http://wals.info/valuesets/24A-amp,http://wals.info/languoid/lect/wals_code_amp,http://wals.info/feature/24A,http://wals.info/refdb/record/Wilkins-1989
Asmat,No marking,Voorhoeve 1965;Drabbe 1959a,http://wals.info/valuesets/24A-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/24A,http://wals.info/refdb/record/Voorhoeve-1965;http://wals.info/refdb/record/Drabbe-1959a
Atakapa,No marking,Swanton 1929,http://wals.info/valuesets/24A-atk,http://wals.info/languoid/lect/wals_code_atk,http://wals.info/feature/24A,http://wals.info/refdb/record/Swanton-1929
Awa Pit,Dependent marking,Curnow 1997,http://wals.info/valuesets/24A-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/24A,http://wals.info/refdb/record/Curnow-1997
Awtuw,Dependent marking,Feldman 1986,http://wals.info/valuesets/24A-awt,http://wals.info/languoid/lect/wals_code_awt,http://wals.info/feature/24A,http://wals.info/refdb/record/Feldman-1986
Aymara,Double marking,Hardman 2001,http://wals.info/valuesets/24A-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/24A,http://wals.info/refdb/record/Hardman-2001
